Timestamp,Ax,Ay,Az,Rx,Ry,Rz,Temp,Pressure,Mx,My,Mz,Gx,Gy,Gz
3287957,-0.073688,0.995032,0.00732,0.1575,-0.525,-2.8525,32.560001,982.349976,0.2715,-0.0615,-0.2445,-0.800000, 0.100000,-0.700000
3287987,-0.077104,0.996008,0.008296,0.1575,-0.14,-2.87,32.560001,983.630005,0.2655,-0.0585,-0.2475, 0.000000, 0.400000,-0.100000
3288017,-0.079056,0.997472,0.00244,0.07,-0.84,-2.8,32.490002,982.849976,0.27,-0.066,-0.2475, 0.100000, 0.400000,-0.200000
3288047,-0.078568,0.998936,-0.003904,0.175,-0.5425,-2.8875,32.529999,983.340027,0.2745,-0.0615,-0.2535, 0.200000, 0.900000,-0.400000
3288077,-0.082472,0.997472,-0.001464,0.1225,-0.35,-2.8525,32.509998,983.309998,0.2715,-0.0615,-0.2475, 0.100000,-0.200000,-0.500000
3288107,-0.088816,0.996496,-0.00244,0.07,-0.9625,-2.7825,32.529999,983.559998,0.267,-0.0615,-0.258,-0.800000, 0.500000, 0.500000
3288137,-0.088816,0.999912,-0.00244,0.0175,-0.245,-2.73,32.560001,983.409973,0.273,-0.0615,-0.2505, 0.000000,-0.100000, 0.200000
3288167,-0.0976,0.997472,-0.004392,0.07,-0.1575,-2.555,32.57,983.02002,0.2685,-0.063,-0.2445, 0.400000,-0.100000, 0.200000
3288198,-0.094672,0.992104,-0.007808,-0.07,-0.07,-2.45,32.59,982.419983,0.27,-0.0645,-0.2535, 0.700000,-0.500000, 0.300000
3288228,-0.088816,0.994544,-0.006832,-0.0875,-0.245,-2.38,32.610001,983.299988,0.2655,-0.0615,-0.2535,-0.200000, 0.400000,-0.900000
3288258,-0.084912,0.997472,-0.01464,-0.14,0.3325,-2.1875,32.509998,982.880005,0.2745,-0.0675,-0.249,-0.200000,-0.500000,-0.900000
3288288,-0.084424,0.994056,-0.001952,-0.2975,-0.28,-2.2925,32.509998,983.950012,0.2655,-0.0585,-0.2445, 0.400000,-0.200000,-0.400000
3288318,-0.081984,0.994544,-0.00732,-0.35,0.5775,-2.1525,32.560001,983.409973,0.27,-0.066,-0.24, 0.700000,-1.000000, 0.000000
3288348,-0.093208,0.994544,-0.006832,-0.3675,0.84,-2.135,32.57,983.22998,0.273,-0.054,-0.249, 0.400000,-1.000000, 0.300000
3288378,-0.087352,0.999912,-0.005368,-0.42,-0.035,-1.96,32.540001,982.73999,0.27,-0.0705,-0.2535, 0.400000, 0.100000,-0.500000
3288408,-0.07076,0.994544,0.005856,-0.49,0.28,-1.855,32.59,982.630005,0.264,-0.06,-0.2445, 1.600000,-0.600000, 0.300000
3288438,-0.07564,0.997472,0.003904,-0.35,0.8225,-2.0125,32.529999,982.070007,0.279,-0.063,-0.2445,-0.100000, 0.200000, 0.500000
3288468,-0.07076,0.998448,0.001952,-0.4375,0.3325,-1.8725,32.57,983.659973,0.267,-0.069,-0.2625,-0.500000,-0.600000, 0.600000
3288499,-0.05856,0.995032,0.0122,-0.385,0.0175,-2.0125,32.48,982.599976,0.273,-0.0555,-0.2415,-0.200000, 0.000000, 0.400000
3288529,-0.055632,0.99552,0.005368,-0.3325,0.56,-2.1875,32.59,981.780029,0.2655,-0.0555,-0.246,-0.600000,-0.500000,-0.400000
3288559,-0.065392,0.998448,0.009272,-0.3675,-0.2275,-2.2925,32.560001,983.409973,0.267,-0.06,-0.252,-0.600000, 0.700000, 0.300000
3288589,-0.04636,0.994544,0.014152,-0.35,-0.21,-2.31,32.509998,983.52002,0.2625,-0.063,-0.2475,-0.700000,-0.100000, 0.200000
3288619,-0.051728,0.997472,0.020008,-0.2275,0.105,-2.625,32.540001,983.380005,0.273,-0.0555,-0.249,-0.300000,-0.400000,-0.100000
3288649,-0.061,0.999424,0.01952,-0.035,-0.1925,-2.765,32.509998,983.73999,0.2745,-0.0615,-0.246, 0.400000,-0.800000,-0.200000
3288679,-0.055632,0.996984,0.023912,0.0175,-0.7,-2.8175,32.48,981.960022,0.27,-0.0555,-0.2505, 0.400000,-0.200000, 0.700000
3288709,-0.050752,0.997472,0.01952,0.14,-0.07,-2.9225,32.560001,983.630005,0.261,-0.0675,-0.249, 0.000000,-0.500000,-0.500000
3288739,-0.05368,0.998448,0.009272,0.28,-0.7175,-3.0625,32.57,984.090027,0.2655,-0.063,-0.24, 0.300000, 0.500000,-0.500000
3288769,-0.05612,0.995032,0.016104,0.315,-1.4175,-3.2025,32.59,982.630005,0.2685,-0.0645,-0.2595, 0.500000,-0.300000,-0.200000
3288800,-0.061976,0.993568,0.01464,0.4025,-0.91,-3.43,32.560001,983.840027,0.267,-0.06,-0.2475, 0.200000, 0.700000, 0.400000
3288830,-0.078568,0.997472,0.010248,0.49,-0.735,-3.5,32.560001,982.98999,0.27,-0.0675,-0.255,-0.600000, 0.800000, 0.400000
3288860,-0.083448,0.996008,0.011712,0.56,-1.715,-3.4125,32.57,982.169983,0.2715,-0.057,-0.249, 0.000000, 0.300000, 0.000000
3288890,-0.077592,0.99796,0.008784,0.5775,-1.0325,-3.43,32.529999,982.700012,0.273,-0.0675,-0.2505,-1.100000,-0.900000, 0.200000
3288920,-0.093208,0.995032,0.00244,0.595,-0.77,-3.3425,32.529999,983.340027,0.2745,-0.0615,-0.249,-0.100000, 0.300000,-0.100000
3288950,-0.088816,0.996984,-0.000976,0.595,-1.26,-3.2725,32.610001,982.659973,0.2655,-0.06,-0.246,-0.100000,-0.200000, 0.700000
3288980,-0.091744,0.99552,-0.005368,0.5425,-0.84,-3.15,32.560001,982.98999,0.2625,-0.0675,-0.246,-0.600000, 0.600000, 0.400000
3289010,-0.10004,0.992592,-0.016104,0.455,-1.155,-3.08,32.66,983.830017,0.2685,-0.066,-0.2535, 0.300000, 0.200000, 0.200000
3289040,-0.093208,0.997472,-0.013176,0.315,-0.8225,-2.87,32.57,984.51001,0.2745,-0.066,-0.2475, 0.400000,-0.100000,-0.100000
