timestamp,Datetime,Lon,Lat,height,accuracy_horiz,accuracy_vertical,VelN,VelE,vel_down,Invalid,fix_valid
666,2023-11-12T15:31:40Z,40.388283,-87.510208,222.382004,1.748,1.557,-0.123,0.013,-0.199,0,1
1543,2023-11-12T15:31:41Z,40.388287,-87.510208,222.380997,1.412,1.318,0.076,0.004,0.202,0,1
2499,2023-11-12T15:31:42Z,40.388279,-87.510201,222.781006,1.247,1.301,0.335,-0.079,0.947,0,1
3541,2023-11-12T15:31:43Z,40.388275,-87.510201,223.104004,1.18,1.348,-0.055,0.108,-0.283,0,1
4509,2023-11-12T15:31:44Z,40.388271,-87.510208,223.587006,1.11,1.361,0.104,-0.024,0.196,0,1
5827,2023-11-12T15:31:45Z,40.388268,-87.510208,223.985001,1.068,1.365,0.049,0.063,0.039,0,1
7458,2023-11-12T15:31:46Z,40.388268,-87.510208,224.600006,1.095,1.378,0.009,0.04,-0.027,0,1
8500,2023-11-12T15:31:48Z,40.388268,-87.510216,224.460999,0.992,1.256,-0.048,0.05,-0.111,0,1
9473,2023-11-12T15:31:49Z,40.388271,-87.510216,223.5,0.927,1.177,0.043,-0.055,-0.025,0,1
10670,2023-11-12T15:31:50Z,40.388271,-87.510216,223.513,0.865,1.119,0.049,-0.005,0.068,0,1
11766,2023-11-12T15:31:51Z,40.388271,-87.510208,223.501007,0.789,1.046,0.385,0.131,0.093,0,1
13353,2023-11-12T15:31:52Z,40.388279,-87.510201,223.139999,0.854,1.077,0.702,-0.058,0.52,0,1
14620,2023-11-12T15:31:54Z,40.388287,-87.510223,222.917007,0.84,1.125,-0.017,-0.928,-0.264,0,1
15617,2023-11-12T15:31:55Z,40.388287,-87.510223,223.462006,0.997,1.253,0.255,-0.243,-0.303,0,1
16599,2023-11-12T15:31:56Z,40.388287,-87.510231,222.938995,0.922,1.216,0.323,-0.157,0.176,0,1
17707,2023-11-12T15:31:57Z,40.388287,-87.510231,222.703003,0.895,1.206,0.154,0.08,0.087,0,1
19435,2023-11-12T15:31:58Z,40.388287,-87.510231,222.356995,0.867,1.155,-0.01,-0.053,0.032,0,1
20543,2023-11-12T15:32:0Z,40.388287,-87.510231,221.145004,0.781,1.054,0.218,0.04,0.185,0,1
21718,2023-11-12T15:32:1Z,40.38829,-87.510231,220.677994,0.756,1.004,-0.044,-0.159,0.21,0,1
22698,2023-11-12T15:32:2Z,40.38829,-87.510239,220.404999,0.728,0.961,0.009,-0.084,0.187,0,1
24484,2023-11-12T15:32:3Z,40.38829,-87.510239,220.522003,0.798,0.982,0.21,0.19,-0.419,0,1
25592,2023-11-12T15:32:5Z,40.38829,-87.510246,220.488007,0.776,1.042,0.246,-0.464,0.825,0,1
26552,2023-11-12T15:32:6Z,40.38829,-87.510246,220.462006,0.756,1.035,0.182,0.058,0.023,0,1
27918,2023-11-12T15:32:7Z,40.38829,-87.510246,220.412003,0.74,1.022,0.01,0.129,0.156,0,1
29818,2023-11-12T15:32:8Z,40.388294,-87.510246,220.412994,0.74,1.062,0.002,0.082,-0.157,0,1
30584,2023-11-12T15:32:10Z,40.388294,-87.510246,220.195999,0.788,1.112,-0.561,0.04,-0.806,0,1
31536,2023-11-12T15:32:11Z,40.38829,-87.510239,220.044006,0.824,1.141,0.153,0.043,0.54,0,1
32571,2023-11-12T15:32:12Z,40.38829,-87.510239,219.826004,0.846,1.159,0.268,-0.009,0.171,0,1
33856,2023-11-12T15:32:13Z,40.388294,-87.510239,219.893005,0.837,1.138,0.032,-0.002,0.024,0,1
35840,2023-11-12T15:32:14Z,40.388294,-87.510239,220.044006,0.97,1.263,-0.173,0.096,0.04,0,1
36543,2023-11-12T15:32:16Z,40.388294,-87.510239,220.830994,0.975,1.266,0.072,0.01,-0.005,0,1
37646,2023-11-12T15:32:17Z,40.38829,-87.510239,221.076996,0.964,1.243,0.009,-0.038,-0.093,0,1
38866,2023-11-12T15:32:18Z,40.388298,-87.510239,221.873993,0.987,1.309,-0.116,-0.024,-0.152,0,1
40441,2023-11-12T15:32:19Z,40.388294,-87.510239,221.623001,0.924,1.27,-0.021,0.065,0.026,0,1
41639,2023-11-12T15:32:21Z,40.388287,-87.510239,220.173996,1.075,1.439,-0.007,0.012,0.063,0,1
42669,2023-11-12T15:32:22Z,40.388287,-87.510239,219.046997,1.045,1.361,0.041,0.06,0.39,0,1
43626,2023-11-12T15:32:23Z,40.388287,-87.510231,218.541,1.017,1.32,-0.053,0.081,-0.074,0,1
44992,2023-11-12T15:32:24Z,40.388283,-87.510231,219.289001,0.955,1.257,-0.048,0.045,0.055,0,1
46915,2023-11-12T15:32:25Z,40.388287,-87.510223,219.296005,0.96,1.228,0.005,0.126,0.046,0,1
48054,2023-11-12T15:32:27Z,40.388287,-87.510223,219.692001,0.876,1.096,-0.1,0.082,-0.14,0,1
49141,2023-11-12T15:32:28Z,40.388287,-87.510223,219.843994,0.791,1.018,-0.049,0.093,-0.141,0,1
50266,2023-11-12T15:32:29Z,40.38829,-87.510223,220.147003,0.767,0.97,0.043,0.001,0.063,0,1
52004,2023-11-12T15:32:30Z,40.388287,-87.510223,220.985992,0.775,0.992,-0.192,0.027,0.05,0,1
53123,2023-11-12T15:32:32Z,40.388294,-87.510223,220.996994,0.903,1.191,0.046,-0.055,-0.027,0,1
54083,2023-11-12T15:32:33Z,40.388302,-87.510223,222.039001,0.962,1.24,0.329,-0.032,-0.002,0,1
55045,2023-11-12T15:32:34Z,40.388302,-87.510216,222.016006,0.806,1.066,0.052,-0.019,0.008,0,1
56402,2023-11-12T15:32:35Z,40.388302,-87.510223,221.574997,0.9,1.136,-0.194,0.154,-0.363,0,1
58397,2023-11-12T15:32:37Z,40.388302,-87.510216,221.917999,1.136,1.397,0.215,-0.086,0.159,0,1
59520,2023-11-12T15:32:39Z,40.388306,-87.510223,221.330994,1.219,1.651,-0.256,-0.033,-0.405,0,1
60560,2023-11-12T15:32:40Z,40.388309,-87.510223,221.772003,1.224,1.644,0.152,-0.045,0.463,0,1
61771,2023-11-12T15:32:41Z,40.388302,-87.510216,220.386002,1.035,1.383,-0.246,0.091,-0.402,0,1
63574,2023-11-12T15:32:42Z,40.388298,-87.510216,220.089996,0.982,1.281,0.152,0.102,-0.358,0,1
64542,2023-11-12T15:32:44Z,40.38829,-87.510216,218.891006,0.985,1.237,-0.021,0.026,0.416,0,1
65575,2023-11-12T15:32:45Z,40.388287,-87.510216,218.468994,0.969,1.237,-0.079,-0.133,-0.472,0,1
66765,2023-11-12T15:32:46Z,40.388287,-87.510216,218.559006,1.003,1.321,-0.07,-0.143,-1.043,0,1
68521,2023-11-12T15:32:47Z,40.388287,-87.510216,218.326996,1.038,1.308,-0.059,0.018,0.004,0,1
69546,2023-11-12T15:32:49Z,40.388279,-87.510223,218.412994,1.122,1.285,0.057,-0.144,0.325,0,1
70584,2023-11-12T15:32:50Z,40.388271,-87.510223,218.367004,1.004,1.141,-0.142,0.033,-0.197,0,1
71697,2023-11-12T15:32:51Z,40.388275,-87.510216,218.490997,0.938,1.052,-0.076,0.105,-0.473,0,1
72825,2023-11-12T15:32:52Z,40.388283,-87.510216,219.320007,0.892,0.998,-0.157,0.132,-0.449,0,1
75067,2023-11-12T15:32:53Z,40.388283,-87.510216,219.048996,1.043,1.241,-0.275,-0.485,0.025,0,1
76098,2023-11-12T15:32:55Z,40.388287,-87.510223,219.934006,1.262,1.625,-0.068,-0.057,-0.085,0,1
77053,2023-11-12T15:32:56Z,40.388283,-87.510223,219.677002,1.241,1.598,0.115,0.052,0.181,0,1
