Timestamp,Ax,Ay,Az,Rx,Ry,Rz,Temp,Pressure
1885000,1.014796,0.041724,-0.022936,1.015,-0.07,0.0875,nan,nan
1885010,1.012356,0.041724,-0.021716,0.9975,-0.0525,0.105,nan,nan
1885020,1.014308,0.04148,-0.020496,0.945,-0.0875,0.07,nan,nan
1885030,1.014064,0.040016,-0.021228,0.9275,-0.1225,0.105,nan,nan
1885040,1.012112,0.042456,-0.020496,0.91,-0.07,0.0875,nan,nan
1885050,1.014308,0.041968,-0.02074,0.9275,-0.035,0.105,nan,nan
1885060,1.012844,0.040992,-0.01952,0.9275,-0.0525,0.035,nan,nan
1885070,1.0126,0.041968,-0.019032,0.945,-0.0875,0,nan,nan
1885080,1.013576,0.04148,-0.019276,0.98,-0.0175,0.035,nan,nan
1885090,1.013332,0.041724,-0.020252,0.945,-0.0525,0.07,nan,nan
1885100,1.013576,0.038552,-0.021228,0.945,-0.0525,0.07,nan,nan
1885110,1.01504,0.039284,-0.02074,0.84,-0.0175,0.0525,nan,nan
1885120,1.012356,0.042456,-0.019032,0.84,0,0,nan,nan
1885130,1.014796,0.043432,-0.018788,0.84,-0.0875,0.0525,nan,nan
1885140,1.014796,0.043188,-0.018056,0.8225,-0.07,0.035,nan,nan
1885150,1.014308,0.044164,-0.01708,0.84,-0.0875,0.035,nan,nan
1885160,1.01382,0.04392,-0.016836,0.8575,-0.0875,0.07,nan,nan
1885170,1.012844,0.04514,-0.018544,0.9275,-0.1225,0.07,nan,nan
1885180,1.013088,0.045384,-0.018788,1.015,-0.1225,0.07,nan,nan
1885190,1.014064,0.04392,-0.018544,1.085,0.0175,0.0175,nan,nan
1885200,1.013576,0.042944,-0.020252,1.1025,-0.0525,0.035,nan,nan
1885210,1.013332,0.043188,-0.021472,1.015,-0.0875,0.0175,nan,nan
1885220,1.012844,0.043676,-0.020984,0.9975,-0.0525,0.07,nan,nan
1885270,1.013332,0.044408,-0.017568,1.085,-0.1225,0.0875,nan,nan
1885280,1.013088,0.044652,-0.019276,1.085,-0.1225,0.105,nan,nan
1885290,1.01382,0.041968,-0.01952,1.155,-0.0875,0.1225,nan,nan
1885300,1.014552,0.040748,-0.020496,1.19,-0.0875,0.0875,nan,nan
1885310,1.01626,0.039772,-0.020496,1.1025,-0.0875,0.1225,nan,nan
1885320,1.014552,0.03904,-0.022448,0.98,-0.14,0.105,nan,nan
1885330,1.014064,0.039528,-0.020984,0.9625,-0.105,0.105,nan,nan
1885340,1.014308,0.040992,-0.02074,0.8925,-0.07,0.07,nan,nan
1885350,1.01382,0.04026,-0.019764,0.8925,-0.105,0.0525,nan,nan
1885360,1.014308,0.040016,-0.01952,0.8925,-0.07,0.07,nan,nan
1885370,1.014308,0.041724,-0.019032,1.015,-0.0875,0.0175,nan,nan
1885380,1.014796,0.040748,-0.01952,1.015,-0.035,0.0175,nan,nan
1885390,1.014064,0.040992,-0.01952,1.015,-0.0175,0.035,nan,nan
1885400,1.014064,0.042212,-0.020008,1.05,-0.0525,-0.0175,nan,nan
1885405,1.01382,0.043188,-0.019764,1.0325,-0.1225,0.035,nan,nan
1885415,1.013088,0.043432,-0.020252,1.0325,-0.0875,0,nan,nan
1885425,1.013332,0.04392,-0.020496,0.945,-0.0875,0,nan,nan
1885435,1.013576,0.041724,-0.021472,0.8225,-0.0525,-0.0175,nan,nan
1885445,1.012356,0.041968,-0.021228,0.84,-0.07,-0.0175,nan,nan
1885455,1.011868,0.044164,-0.020252,0.8575,-0.1225,0.0175,nan,nan
1885465,1.013088,0.04392,-0.018544,0.84,0.035,0.0525,nan,nan
1885471,1.014796,0.045872,-0.0183,0.91,-0.035,0.0175,nan,nan
1885480,1.014308,0.0427,-0.020496,0.875,-0.0175,0.07,nan,nan
1885490,1.01382,0.045384,-0.020496,0.9625,-0.035,0.07,nan,nan
1885500,1.013576,0.041724,-0.020008,0.98,-0.035,-0.0175,nan,nan
1885510,1.013576,0.04392,-0.020984,0.91,-0.0175,0.035,nan,nan
1885520,1.013088,0.042944,-0.020496,0.9625,0,0.0875,nan,nan
1885530,1.014064,0.044652,-0.018544,0.875,-0.035,0.07,nan,nan
1885540,1.015528,0.043432,-0.019276,0.8925,0,0.07,nan,nan
1885550,1.0126,0.0427,-0.0183,0.875,-0.0175,0.14,nan,nan
1885560,1.012844,0.043188,-0.020008,0.8575,-0.0525,0.1225,nan,nan
1885570,1.014796,0.043188,-0.019276,0.875,-0.035,0.07,nan,nan
1885580,1.013576,0.043432,-0.017568,0.98,-0.035,0.105,nan,nan
1885590,1.013332,0.0427,-0.018544,0.98,-0.0525,0.0875,nan,nan
1885600,1.011624,0.042456,-0.018056,1.015,-0.035,0.07,nan,nan
1885610,1.014796,0.042944,-0.019764,1.0325,0,0.0875,nan,nan
1885620,1.014552,0.03782,-0.020252,1.015,-0.07,0.105,nan,nan
1885630,1.01504,0.040016,-0.01952,0.9275,-0.0175,0.0875,nan,nan
1885640,1.013576,0.04026,-0.018788,0.8575,-0.07,0.105,nan,nan
1885650,1.013332,0.041724,-0.0183,0.805,-0.105,0.105,nan,nan
1885660,1.014796,0.042944,-0.017812,0.9275,-0.14,0.0875,nan,nan
1885670,1.014552,0.0427,-0.0183,0.9625,-0.105,0.07,nan,nan
1885680,1.014308,0.042212,-0.01708,1.015,-0.1225,0,nan,nan
1885690,1.014064,0.040992,-0.018056,1.05,-0.105,0.0525,nan,nan
1885700,1.012844,0.04148,-0.018544,1.085,-0.07,0,nan,nan
1885710,1.01382,0.042944,-0.019276,0.9975,-0.07,0.0175,nan,nan
1885720,1.014064,0.040748,-0.020984,0.9975,-0.07,0,nan,nan
1885730,1.012112,0.041968,-0.02074,0.945,-0.0875,0.0175,nan,nan
1885740,1.01382,0.043188,-0.019764,0.945,-0.105,0.0525,nan,nan
1885750,1.012844,0.044164,-0.019764,0.8925,-0.14,0.035,nan,nan
1885760,1.014796,0.043676,-0.0183,0.8575,-0.14,0.07,nan,nan
1885770,1.013576,0.044896,-0.016836,0.9275,-0.14,0.0525,nan,nan
1885780,1.014064,0.047092,-0.014884,0.9975,-0.0875,0.1225,nan,nan
1885790,1.014552,0.043676,-0.016104,1.1725,-0.1225,0.105,nan,nan
1885800,1.015772,0.044652,-0.019764,1.1725,-0.07,0.14,nan,nan
1885810,1.015284,0.044896,-0.01952,1.295,-0.105,0.035,nan,nan
1885820,1.01382,0.04148,-0.020496,1.155,-0.0875,0.1575,nan,nan
1885830,1.014064,0.041968,-0.022448,1.2075,-0.105,0.0875,nan,nan
1885840,1.012844,0.043676,-0.020252,1.155,-0.0875,0.105,nan,nan
1885850,1.013088,0.040016,-0.02318,1.0325,-0.1225,0.07,nan,nan
1885860,1.013332,0.041724,-0.02318,1.1025,-0.1225,0.14,nan,nan
1885870,1.020408,0.044164,-0.021228,1.2075,-0.07,0.105,nan,nan
1885880,1.311988,0.02806,-0.006344,2.135,-0.0875,-0.5075,nan,nan
