#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 8183, 2,KN4UIR,    -0.30, 3,   boost,   -0.00, 100525.00,   66.81,    0.00,    0.00, 20.6, 9.63, 0.00, 4.03,   9.90,  -0.24,   0.06,  -0.85,  -0.08,  -0.08,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.29, 3,   boost,    0.50, 100527.00,   66.64,   -0.17,    0.00, 20.6, 9.63, 0.00, 4.03,   9.83,  -0.27,   0.03,  -0.72,  -0.08,   0.04,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.28, 3,   boost,   -0.00, 100529.00,   66.47,   -0.34,    0.00, 20.6, 9.63, 0.00, 4.03,   9.88,  -0.23,   0.05,  -0.66,  -0.08,  -0.02,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.27, 3,   boost,   -0.00, 100525.00,   66.81,    0.00,    0.00, 20.6, 9.63, 0.00, 4.03,   9.82,  -0.22,   0.06,  -0.60,  -0.08,  -0.02,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.26, 3,   boost,   -0.50, 100533.00,   66.14,   -0.67,    0.01, 20.6, 9.63, 0.00, 4.03,   9.83,  -0.29,   0.01,  -0.78,  -0.08,  -0.02,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.25, 3,   boost,    0.50, 100528.00,   66.56,   -0.25,    0.01, 20.6, 9.63, 0.00, 4.03,   9.85,  -0.30,   0.04,  -0.91,   0.04,   0.04,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.24, 3,   boost,    2.01, 100527.00,   66.64,   -0.17,    0.01, 20.6, 9.63, 0.00, 4.03,   9.86,  -0.28,   0.09,  -0.91,  -0.02,   0.10,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.23, 3,   boost,   -0.50, 100534.00,   66.05,   -0.75,    0.01, 20.6, 9.63, 0.00, 4.03,   9.83,  -0.25,   0.07,  -0.91,  -0.02,  -0.02,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.22, 3,   boost,   -1.51, 100528.00,   66.56,   -0.25,    0.01, 20.6, 9.63, 0.00, 4.03,   9.84,  -0.25,   0.00,  -0.72,  -0.02,  -0.02,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.21, 3,   boost,   -0.50, 100522.00,   67.06,    0.25,    0.01, 20.6, 9.63, 0.00, 4.03,   9.90,  -0.26,  -0.02,  -0.66,   0.04,  -0.02,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.20, 3,   boost,   -0.50, 100531.00,   66.30,   -0.50,    0.00, 20.6, 9.63, 0.00, 4.03,   9.89,  -0.24,   0.11,  -0.48,   0.04,   0.04,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.19, 3,   boost,   -0.50, 100534.00,   66.05,   -0.75,    0.00, 20.6, 9.63, 0.00, 4.03,   9.87,  -0.27,   0.09,  -0.54,  -0.02,  -0.08,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.18, 3,   boost,   -1.01, 100520.00,   67.23,    0.42,    0.00, 20.6, 9.63, 0.00, 4.03,   9.91,  -0.22,   0.02,  -0.23,   0.04,  -0.02,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.17, 3,   boost,   -0.00, 100525.00,   66.81,    0.00,    0.01, 20.6, 9.63, 0.00, 4.03,   9.85,  -0.24,  -0.02,   0.07,  -0.08,   0.04,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.16, 3,   boost,   -0.00, 100523.00,   66.98,    0.17,    0.05, 20.6, 9.63, 0.00, 4.03,   9.88,  -0.23,  -0.07,   0.50,   0.04,  -0.02,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.15, 3,   boost,    1.51, 100527.00,   66.64,   -0.17,    0.14, 20.6, 9.63, 0.00, 4.03,   9.89,  -0.23,   0.02,   0.99,   0.04,  -0.02,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.14, 3,   boost,   22.63, 100537.00,   65.80,   -1.01,    0.29, 20.6, 9.63, 0.00, 4.03,  10.07,  -0.13,  -0.06,   1.54,   0.04,   0.04,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.13, 3,   boost,   35.20, 100533.00,   66.14,   -0.67,    0.50, 20.6, 9.63, 0.00, 4.03,  11.57,   0.03,  -0.32,   2.33,  -0.08,  -0.02,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.12, 3,   boost,   33.19, 100537.00,   65.80,   -1.01,    0.78, 20.6, 9.63, 0.00, 4.03,  26.71,  -2.13,  -0.34,   3.06,  -0.69,   0.04,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.11, 3,   boost,   33.19, 100516.00,   67.56,    0.75,    1.12, 20.6, 9.63, 0.00, 4.03,  41.13,  -3.73,  -1.11,   6.24,  -1.18,   1.87,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.10, 3,   boost,   37.72, 100495.00,   69.32,    2.51,    1.49, 20.6, 9.63, 0.00, 4.03,  43.77,  -2.58,   0.34,  12.46,   1.75,  -0.02,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.09, 3,   boost,   42.75, 100511.00,   67.98,    1.17,    1.92, 20.6, 9.63, 0.00, 4.03,  40.53,   2.62,  -1.31,  10.45,  -1.12,  -0.27,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
6, 8183, 2,KN4UIR,    -0.08, 3,   boost,   50.29, 100509.00,   68.15,    1.34,    2.38, 20.6, 9.63, 0.00, 4.03,  45.26,  -1.25,   0.89,   7.76,   0.29,   0.10,   6.91,   0.01,   3.04,   1.62, 9.53, 0.00, 0.00, 0.00, 0.00, 1, 1, 10,  40.3886847, -87.5132139,   220.0, 2023, 11, 12, 16,  9,  7,        0,        0,   0,   0,   1.5,   0.8,   1.3,  0, 35,  0,  0,  0,  0,  0,  0,  0, 26,  0, 27,  0,  0,  0,  0,  0,  0,  0,  0, 29,  0, 21, 30, 27,  0,  0, 17,  0,  0, 29, 31
